product_id,company_id,company_name,company_type_name,drug_id,brand_name,molecule,technology,phase_name,business_development_status,launch_yr_us,launch_yr_row,generic_entry_us,generic_entry_row,drug_class_id,drug_class_name,drug_group_id,drug_group_name,therapy_area_id,therapy_area_name,reporting_currency_id,region_name,company_revenue_type,Previous5,Previous4,Previous3,Previous2,Previous1,current,Forecast1,Forecast2,Forecast3,Forecast4,Forecast5,Forecast6,7_yr_cagr,drug_profile_id,indication,extract_date
5,46,GlaxoSmithKline,Large Pharma,4305,Mekinist,trametinib,Small Molecule (Chemical),Launched,Licensed (Development),Jul-13,Feb-14,,,189,BRAF/MEK Inhibitors,84,Targeted Small Molecules,3,Oncology,4,Global,Alliance Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Melanoma,7/7/14 12:28
5,46,GlaxoSmithKline,Large Pharma,4305,Mekinist,trametinib,Small Molecule (Chemical),Launched,Licensed (Development),Jul-13,Feb-14,,,189,BRAF/MEK Inhibitors,84,Targeted Small Molecules,3,Oncology,4,Global,Sales,0,0,0,0,15.63414028,40.02287516,58.94688179,64.92908478,58.68016539,58.62996924,69.93398405,78.84385066,26.00411586,34,Melanoma,7/7/14 12:28
5,46,GlaxoSmithKline,Large Pharma,4305,Mekinist,trametinib,Small Molecule (Chemical),Launched,Licensed (Development),Jul-13,Feb-14,,,189,BRAF/MEK Inhibitors,84,Targeted Small Molecules,3,Oncology,4,ROW,Alliance Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Melanoma,7/7/14 12:28
5,46,GlaxoSmithKline,Large Pharma,4305,Mekinist,trametinib,Small Molecule (Chemical),Launched,Licensed (Development),Jul-13,Feb-14,,,189,BRAF/MEK Inhibitors,84,Targeted Small Molecules,3,Oncology,4,ROW,Sales,0,0,0,0,1.563414028,21.52068817,35.40156537,41.69633308,37.84571875,38.70806384,48.5399011,57.29183018,67.27499217,34,Melanoma,7/7/14 12:28
5,46,GlaxoSmithKline,Large Pharma,4305,Mekinist,trametinib,Small Molecule (Chemical),Launched,Licensed (Development),Jul-13,Feb-14,,,189,BRAF/MEK Inhibitors,84,Targeted Small Molecules,3,Oncology,4,US,Alliance Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Melanoma,7/7/14 12:28
5,46,GlaxoSmithKline,Large Pharma,4305,Mekinist,trametinib,Small Molecule (Chemical),Launched,Licensed (Development),Jul-13,Feb-14,,,189,BRAF/MEK Inhibitors,84,Targeted Small Molecules,3,Oncology,4,US,Sales,0,0,0,0,14.07072625,18.502187,23.54531642,23.2327517,20.83444664,19.9219054,21.39408296,21.55202048,6.280366097,34,Melanoma,7/7/14 12:28
7,24,Bristol-Myers Squibb,Large Pharma,801,11-beta HSD Inhibitor,,Small Molecule (Chemical),Phase I,In-House,,,,,32,Other Diabetes Agents,22,Diabetes,8,Metabolism,6,Global,Alliance Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Type II Diabetes,7/7/14 12:28
7,24,Bristol-Myers Squibb,Large Pharma,801,11-beta HSD Inhibitor,,Small Molecule (Chemical),Phase I,In-House,,,,,32,Other Diabetes Agents,22,Diabetes,8,Metabolism,6,Global,Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Type II Diabetes,7/7/14 12:28
7,24,Bristol-Myers Squibb,Large Pharma,801,11-beta HSD Inhibitor,,Small Molecule (Chemical),Phase I,In-House,,,,,32,Other Diabetes Agents,22,Diabetes,8,Metabolism,6,ROW,Alliance Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Type II Diabetes,7/7/14 12:28
7,24,Bristol-Myers Squibb,Large Pharma,801,11-beta HSD Inhibitor,,Small Molecule (Chemical),Phase I,In-House,,,,,32,Other Diabetes Agents,22,Diabetes,8,Metabolism,6,ROW,Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Type II Diabetes,7/7/14 12:28
