id	company_comments	company_name	dr_company_comments	financial_year_end	headquarters	is_active	is_forecast	company_type_id	reporting_currency_id
1		Abbott	ethical drugs - as stated in Virtua  R&D expense stated for Established Pharmaceutical Products segment  LM sep 2013 4/12 - Following split with AbbVie - removed all US OP figures over forecast period.  Added Solvay Other Product figures starting in 2010.  Ethical drug sales = Proprietary + Established Pharmaceutical Product sales US Ethical = US Proprietary ROW Ethical = ROW Proprietary + Established  2011 RoW OP increase w/ full-year consolidation of Piramal 2011 total BGX RoW = $5.4B  2010 OP up with consolidation Solvay for full-year and Piramal partial year  2006-2010 Metabolism OP includes historical sales of Meridia  2007-2010 Respiratory OP includes historical sales of Azmacort.	12	USA	TRUE	TRUE	3	6
2	NULL	Abraxis BioScience	NULL	12	USA	FALSE	FALSE	2	6
3	NULL	Acorda Therapeutics	NULL	12	USA	TRUE	FALSE	2	6
4	NULL	Actavis (legacy)	NULL	12	Europe	FALSE	FALSE	3	2
5	NULL	Actelion	NULL	12	Europe	TRUE	FALSE	2	5
6	"Alcon manufactures and markets pharmaceuticals, surgical equipment and devices and consumer eye care products to treat diseases and disorders of the eye.  However, we capture and analyze the ethical drugs only.  Other Products consists of several minor pharmaceutical brands like Azarga, Betoptic, Vigamox, TobraDex, Nevanac, Cipro Otic and generics."	Alcon		12	USA	FALSE	FALSE	3	6
7	NULL	Alizyme	NULL	12	Europe	TRUE	FALSE	2	4
8	"Allergan manufactures and markets specialty pharmaceuticals and medical devices.  However, in our analysis and forecast, we capture and analyze ethical drugs only."	Allergan	"OPs need looking at 4/13 - Co Geo split 60.9& US, 39.1% RoW  3/12 - 2011 Co. Geo split 60.25% US, 39.75% RoW. 3/12 - Co. still ests. Botox at 51% Therapeutic, 49% Cosmetic.   Minor presence in dermatology with strong competition.  Other ophthalmology forecasted to grow strongly in RoW than in US.  3/23/2011: AM : ED number was = specialty pharma - (0.49 x total botox) since company stated that 51% of botox use was therapeutic. Then applied geographic splits stated by    company for specialty pharma - 63.6% in US and 36.4% RoW  JB DEC 2012 - For Ethical R&D, I used previous % of total R&D, for Q3 2012, this was 81.3%  MB SEP 2013- Quarterly sales-Q1=$1231.8*.813=$1002m, Q2=1347*.813+$1095m. R&D spend- Q1=$248.8m, *0.81=$201.5m   Q2=$266.5m*.81=$216m "	12	USA	TRUE	TRUE	3	6
9	NULL	Allos Therapeutics	NULL	12	USA	FALSE	FALSE	2	6
10		Almirall	"gg apr 13 - Other Income includes revenue from co-development and co-promotion arrangements, mainly due to the income received of milestones reached for aclidinium’s authorisation in the USA and Europe.  Company reports therapy area totals in the FY presentation (closely aligned to ours) so use these when calculating the TA splits. 28/3/11.   Ethical drug sales = total sales - 'corporate' (get from sales by region section of reports).  AM (4/9/09): OP - SALES: Used IMS data in April 2009 to get better understanding of splits as we had simply split across the 4 main TAs before, without much thought. Have assumed that CV OP will decline in line with branded CV products. Dermatology OP - acquisition of Hernal and Shire products in 2007 has added significant revenue here - none of which is captured at the brand level, so has to go in to OP. Assume decline in MSP OP in line with franchise, and increased push in respiratory OP with launch of aclidinium franchise."	12	Europe	TRUE	TRUE	3	2
11		Amgen	"AM (4/9/09)- MSP OP until 2008 was Kineret (sold to Biovitrum in December 2008). Onc OP until 2008 was Kepivance (also sold to Biovitrum)  JB NOV 09 - Amgen reported OP figures for 9M 2009 of 23m US and 34m ROW   2011 Other RoW sales believed to be from acquisition of Bergamo in Brazil - hospital-based products.  Musculoskeletal / pain 'other products' number was Kineret, which company sold to Biovtrum in Q4 2008. Oncology 'other products' until 2008 was Kepivance (also sold to Biovitrum).  Assume 2009 sales of others coincide with residual business efforts with those brands."	12	USA	TRUE	TRUE	1	6
12	NULL	Amylin	NULL	12	USA	FALSE	FALSE	2	6
13	NULL	Arena Pharmaceuticals	NULL	12	USA	TRUE	FALSE	2	6
14	NULL	Asahi Kasei Pharma	NULL	3	Japan	TRUE	FALSE	3	7
15		Astellas Pharma	"Nov 2011 vaccines sales added. sales to other, paed, travel and flu.  HT (Sep, 8, 2011): Recording sales of Tarceva of OSI as alliance revenue from 2010, as Astellas started consolidating it then.   AM (4/9/09) - Have assumed that US CV OP number tracks decline in overall franchise since reps less likely to push other brands as franchise becomes less important. Used April 2009 IMS splits for AI as well. For RoW numbers, used IMS data from April 2009 spreadsheets that temp prepared. Feel fairly comfortable with splits although generics is perhaps slightly high. Don't have a problem leaving the numbers as they are as our splits were not really based on anything. Checked the brands behind the IMS numbers and they make sense as to which TA they fit into, so happy to go with this."	3	Japan	TRUE	TRUE	3	7
16		AstraZeneca	"AZ moving into branded generics in EMS, so added these from 2010 LM 9/11  10th April-SE: AZ list Other Product sales by TA and provides US and RoW split. 24/3/10 pushed anti-infectives number up in US for non-seasonal flu & looks like this area is a bit bigger than we previously model it  Divested astratech - aptium yet? LM"	12	Europe	TRUE	TRUE	1	6
17	NULL	Basilea	NULL	12	Europe	TRUE	FALSE	2	5
18	NULL	Baxter Healthcare	NULL	12	USA	TRUE	FALSE	3	6
19		Bayer	animal health inc under consumer health  LC 3/8/07 Company Name changed from Bayer Schering Pharma to Bayer  4/09: followed IMS splits. Everything forecasted to decrease whereas MSP and generics to increase.  KM: 28/8/09: 1H pharma revenue increased 7% from 2008; expect same growth for whole year. current numbers give +8.5% in EUR. 1H results 5221E.  Alliance Revenue come from Avelox (US)  NB - BD Sept 10 - ethical drug sales = net sales (external) - diagnostic imaging sales  Other Healthcare = consumer healthcare + diagnostic imaging + intersegment sales.  gg feb 11 -  other healthcare =  total sales - sales from other listed segments - ethical drugs sales - total of which includes our diagnostic estimate. 	12	Europe	TRUE	TRUE	1	2
20	NULL	Biodel	BD Mar 09 - added in	12	USA	TRUE	FALSE	2	6
