High Level Relay Cat,Specific Ind,drug_class_name,drug_group_name,indication,High Level Relay Cat
"musculoskeletal abnormalities|cardiovascular abnormalities|heart diseases|lymphatic diseases|congenital abnormalities|genetic diseases, inborn|parathyroid diseases",22q11 Deletion Syndrome,,,,"musculoskeletal abnormalities|cardiovascular abnormalities|heart diseases|lymphatic diseases|congenital abnormalities|genetic diseases, inborn|parathyroid diseases"
urogenital abnormalities|female urogenital diseases|congenital abnormalities|gonadal disorders|sexual and gender disorders,"46, XY Disorders of Sex Development",,,,urogenital abnormalities|female urogenital diseases|congenital abnormalities|gonadal disorders|sexual and gender disorders
neoplasms by site,Abdominal Neoplasms,,,,neoplasms by site
signs and symptoms|neurologic manifestations,Abdominal Pain,,,,signs and symptoms|neurologic manifestations
congenital abnormalities,"Abnormalities, Multiple",,,,congenital abnormalities
infection|pathologic processes,Abscess,,,,infection|pathologic processes
skin diseases,Acne Vulgaris,Acne Treatments,Acne,Acne,skin diseases
skin diseases,Acneiform Eruptions,Acne Treatments,Acne,Acne,skin diseases
rna virus infections|sexually transmitted diseases|slow virus diseases|immunologic deficiency syndromes,Acquired Immunodeficiency Syndrome,,,,rna virus infections|sexually transmitted diseases|slow virus diseases|immunologic deficiency syndromes
"bone diseases|central nervous system diseases|pituitary diseases|bone diseases, endocrine",Acromegaly,,,,"bone diseases|central nervous system diseases|pituitary diseases|bone diseases, endocrine"
bacterial infections,Actinomycetales Infections,Actinic Keratosis Treatments,Actinic Keratosis,Actinic keratosis,bacterial infections
"lung diseases|respiration disorders|hematologic diseases|genetic diseases, inborn",Acute Chest Syndrome,Other Risk Factor Treatments,Other Cardiovascular Disorders,Acute coronary syndrome ,"lung diseases|respiration disorders|hematologic diseases|genetic diseases, inborn"
heart diseases|vascular diseases|signs and symptoms|neurologic manifestations,Acute Coronary Syndrome,Other Risk Factor Treatments,Other Cardiovascular Disorders,Acute coronary syndrome ,heart diseases|vascular diseases|signs and symptoms|neurologic manifestations
urologic diseases|female urogenital diseases,Acute Kidney Injury,,,,urologic diseases|female urogenital diseases
lung diseases|thoracic injuries,Acute Lung Injury,,,,lung diseases|thoracic injuries
neurologic manifestations|signs and symptoms,Acute Pain,,,,neurologic manifestations|signs and symptoms
neoplasms by histologic type,Adenocarcinoma,,,,neoplasms by histologic type
neoplasms by histologic type,"Adenocarcinoma, Mucinous",,,,neoplasms by histologic type
neoplasms by histologic type,Adenoma,,,,neoplasms by histologic type
neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms,"Adenoma, Islet Cell",,,,neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms
neoplasms by histologic type|neoplasms by site|digestive system neoplasms|liver diseases,"Adenoma, Liver Cell",,,,neoplasms by histologic type|neoplasms by site|digestive system neoplasms|liver diseases
neoplasms by histologic type,Adenomatous Polyps,,,,neoplasms by histologic type
female urogenital diseases,Adenomyosis,,,,female urogenital diseases
dna virus infections,Adenoviridae Infections,,,,dna virus infections
female urogenital diseases,Adnexal Diseases,,,,female urogenital diseases
adrenal gland diseases,Adrenal Gland Diseases,,,,adrenal gland diseases
adrenal gland diseases,Adrenal Insufficiency,,,,adrenal gland diseases
adrenal gland diseases,Adrenocortical Hyperfunction,,,,adrenal gland diseases
"adrenal gland diseases|central nervous system diseases|demyelinating diseases|neurologic manifestations|genetic diseases, inborn|metabolic diseases|neurodegenerative diseases|signs and symptoms|mental disorders diagnosed in childhood",Adrenoleukodystrophy,,,,"adrenal gland diseases|central nervous system diseases|demyelinating diseases|neurologic manifestations|genetic diseases, inborn|metabolic diseases|neurodegenerative diseases|signs and symptoms|mental disorders diagnosed in childhood"
mood disorders,"Affective Disorders, Psychotic",,,,mood disorders
hematologic diseases|lymphatic diseases|immunologic deficiency syndromes|immunoproliferative disorders,Agammaglobulinemia,,,,hematologic diseases|lymphatic diseases|immunologic deficiency syndromes|immunoproliferative disorders
hematologic diseases,Agranulocytosis,,,,hematologic diseases
"rna virus infections|sexually transmitted diseases|central nervous system diseases|immunologic deficiency syndromes|delirium, dementia, amnestic, cognitive disorders",AIDS Dementia Complex,,,,"rna virus infections|sexually transmitted diseases|central nervous system diseases|immunologic deficiency syndromes|delirium, dementia, amnestic, cognitive disorders"
