id	brand_name	research_code	molecule_id
1	Other Cephalosporins		1382
2	CAD106	CAD106	2450
3	Tasigna	AMN-107	626
4	AP768		2708
6	NSA-789	NSA-789	2396
7	Alvocidib 		5097
8	ERb agonist		317
9	Lamictal	lamotrigine	491
10	Nolvadex		859
11	Valtrex		935
12	Zonegran	E2090	984
14	GBS		402
15	Collategene	AMG 0001	111
16	JNJ-17305600	NULL	485
17	Natrecor		617
18	LY2140023	LY2140023	541
19	Neupogen		361
20	Veramyst	685698	380
21	talampanel	talampanel	856
23	Pulmicort		141
24	Provenge		824
25	Other CD-20 Targeted Agents		1338
26	Other Motility Disorder Treatments		1096
27	PF-3882845		3133
29	Rapaflo		821
30	Other Atypical Anti-psychotic Agents		2188
31	TAK-065	TAK-065	2914
33	Noxafil		709
34	Other Anti-metabolites		2085
35	Other Anti-neoplastic Antibiotics		1337
37	Stelara	CNTO-1275	933
38	239512		2901
39	PF-3185043	NULL	NULL
41	AMG 477	NULL	NULL
42	Lunesta	SEP-190	330
44	Sonata	zaleplon	2401
47	Norvasc		52
48	Omnaris	ciclesonide	2989
49	rolapitant		2786
50	LY-2469298	LY-2469298	1048
51	Hanp		161
52	glycopyrronium		411
53	Roaccutane		480
54	Percocet	oxycodone + acetaminophen	661
55	Cordarone 		2595
56	Plendil		351
58	Medrol / Solu-Medrol		569
59	Topamax	topiramate	909
60	CBP-501		1874
61	MK-4101	NULL	NULL
62	Gastrom		2802
63	Streptococcus pneumonia vaccine		706
65	Accolate		975
67	relugolix		5122
68	Rikelta	brivaracetam	139
70	Fluad pediatric		813
71	tanespimycin		862
72	232802		1204
73	Replagal	agalsidase alfa	23
74	Prepandrix		373
75	Viagra		820
76	Levitra		2214
77	LY-498582		1968
78	Flomox		169
80	CNTO 95		3111
82	Kaletra		530
83	Crestor		791
85	selumetinib	ARRY142886	3607
86	QAX028		2113
87	Amevive	ASP-0485	30
88	Other Neurology Treatments		1866
89	PF-3893787		2714
90	Androcur		212
91	Aranesp		225
93	Kuvan		2017
94	R1511		1128
95	eldecalcitol	CT-081	294
96	IL-1beta antibody		449
97	Starsis		611
98	LY-2181308	LY-2181308	1813
99	Unifive	NULL	276
100	Glucophage / Glucovance		566
101	Symlin		714
102	Latixa		742
103	MK-6186	MK-6186	1904
105	Epstein-Barr virus	NULL	314
106	Ketek		875
107	Zolip		353
108	Meropen		561
110	Glakay		557
111	Prometrium		721
112	AMG 222		3332
114	Proscar		362
115	CS-1036		3127
116	CE-326579	NULL	NULL
