22q11 deletion syndrome	musculoskeletal abnormalities|cardiovascular abnormalities|heart diseases|lymphatic diseases|congenital abnormalities|genetic diseases, inborn|parathyroid diseases
46, xx disorders of sex development	urogenital abnormalities|female urogenital diseases|congenital abnormalities|gonadal disorders|sexual and gender disorders
46, xx testicular disorders of sex development	urogenital abnormalities|female urogenital diseases|congenital abnormalities|gonadal disorders|sexual and gender disorders
46, xy disorders of sex development	urogenital abnormalities|female urogenital diseases|congenital abnormalities|gonadal disorders|sexual and gender disorders
abdomen, acute	signs and symptoms|neurologic manifestations
abdominal abscess	infection|pathologic processes
abdominal cramps	signs and symptoms|neurologic manifestations
abdominal migraine	central nervous system diseases
abdominal neoplasms	neoplasms by site
abdominal pain	signs and symptoms|neurologic manifestations
abducens nerve diseases	cranial nerve diseases
abducens nerve injury	cranial nerve diseases|trauma, nervous system|craniocerebral trauma
aberrant crypt foci	precancerous conditions
abetalipoproteinemia	genetic diseases, inborn|metabolic diseases
abnormal karyotype	pathologic processes
abnormal movements	central nervous system diseases|neurologic manifestations|signs and symptoms
abnormal reflex	neurologic manifestations|signs and symptoms
abnormalities, drug-induced	congenital abnormalities
abnormalities, multiple	congenital abnormalities
abnormalities, radiation-induced	congenital abnormalities|radiation injuries
abnormalities, severe teratoid	congenital abnormalities
abortion, habitual	pregnancy complications
abortion, incomplete	pregnancy complications
abortion, missed	pregnancy complications
abortion, septic	infection|pregnancy complications
abortion, spontaneous	pregnancy complications
abortion, threatened	pregnancy complications
abortion, veterinary	pregnancy complications
abruptio placentae	pregnancy complications
abscess	infection|pathologic processes
absence epilepsy	central nervous system diseases
absence seizure	central nervous system diseases
absence status	central nervous system diseases
acalculous cholecystitis	biliary tract diseases
acanthamoeba keratitis	eye infections, parasitic|protozoan infections|corneal diseases|eye infections
acanthocheilonemiasis	helminthiasis
acantholysis	skin diseases|pathologic processes
acanthoma	neoplasms by histologic type|neoplasms by site|skin diseases
acanthosis nigricans	skin diseases
acatalasia	genetic diseases, inborn|metabolic diseases|central nervous system diseases
accelerated idioventricular rhythm	heart diseases|pathologic processes
accessory atrioventricular bundle	pathological conditions, anatomical
accessory atrioventricular pathways	pathological conditions, anatomical
