id	molecule_name	technology_id
2	abacavir	3
3	abacavir  +  zidovudine  +  lamivudine	3
5	abatacept	5
6	abciximab	5
7	abiraterone	3
9	acadesine	3
10	ACAM-Cdiff	8
11	ACAM-FluA	NULL
12	acamprosate	3
13	acarbose	3
14	aceclofenac	3
15	aciclovir	3
18	adalimumab	5
19	adefovir	3
20	Afelimomab	5
22	afutuzumab	5
23	agalsidase alfa	4
24	agalsidase beta	4
26	agomelatine	3
27	albiglutide	4
29	albuterol	3
30	alefacept	4
31	RG1439	3
32	alemtuzumab	5
33	alendronate	3
34	alfuzosin	3
35	imiglucerase	4
36	aliskiren	3
37	almorexant	3
38	almotriptan	3
39	alogliptin	3
40	alpha-glucosidase	4
42	alprazolam	3
43	alteplase	4
44	alteplase / tenecteplase	4
45	ALVAC2	8
46	alvimopan	3
47	alvocidib	3
48	ambrisentan	3
50	amikacin inhale	3
51	amiodarone	3
52	amlodipine	3
53	amoxicillin  +  clavulanic acid	3
54	amphetamine salts	3
55	amphotericin B	3
56	amphotericin liposomal	3
57	ampicillin  +  sulbactam	3
58	anacetrapib	3
60	anastrozole	3
61	Angiocept	5
62	anidulafungin	3
63	anrukinzumab	5
67	anti-NRP1	NULL
69	anti-thymocyte rabbit immunoglobulin	5
70	anti-TNF-alpha polyclonal antibody fragment	5
71	apixaban	3
72	apremilast	3
74	arformoterol	3
75	aripiprazole	3
76	armodafinil	3
78	vadimezan	3
79	asenapine	3
80	ataciguat	3
81	atazanavir	3
82	atenolol	3
83	atomoxetine	3
84	atorvastatin	3
85	atorvastatin + amlodipine	3
86	atrasentan	3
88	Avandia + simvastatin	3
89	AVE5530	3
90	ombrabulin	3
91	aviptadil	2
92	axitinib	3
93	azacitidine	3
94	azelnidipine	3
95	azilsartan	3
97	azilsartan medoxomil	3
98	azithromycin	3
99	aztreonam	3
101	insulin peglispro	4
104	beclomethasone	3
105	BMS-224818	4
107	belinostat	3
108	benazepril + amlodipine	3
109	bendamustine	3
110	benidipine	3
111	beperminogene perplasmid	6
112	bepotastine besilate	3
113	beraprost	3
114	betahistine	3
115	interferon-beta 1b	4
116	betamethasone propionate	3
117	bevacizumab	5
118	tonapofylline	3
119	BI-1744-CL	3
120	intedanib	3
121	afatinib	3
122	bicalutamide	3
123	bifeprunox	3
124	bimatoprost	3
125	bisoprolol	3
126	bivalirudin	3
127	blonanserin	3
128	emepepimut-S	8
129	dibotermin alpha	4
130	BMS-708163	NULL
131	boceprevir	3
132	bortezomib	3
133	bosentan	3
134	bosutinib	3
135	botulinum toxin type A	4
136	brimonidine	3
137	brinzolamide	3
138	brivanib alaninate	3
139	brivaracetam	3
140	buccal fentanyl	3
141	budesonide	3
142	formoterol + budesonide 	3
145	bupropion	3
146	bupropion + zonisamide	3
147	canakinumab	5
148	candesartan cilexitil	3
149	cangrelor	3
150	capadenoson	NULL
153	carbamazepine extended-release	3
155	carfilzomib	3
156	cariprazine	3
157	carisbamate 	3
158	carmegliptin	3
159	CHF-4226	3
160	CHF-5188	3
161	carperitide	3
162	carvedilol	3
163	casopitant	3
164	caspofungin	3
165	PF-0494856	8
166	cediranib	3
167	cefaclor	3
168	cefazolin	3
169	cefcapene pivoxil	3
170	cefdinir	3
171	cefepime	3
172	cefotiam	3
173	cefozopran	3
174	cefprozil	3
176	ceftazidime	3
177	ceftobiprole	3
179	cefuroxime axetil	3
180	celecoxib	3
182	certolizumab	5
183	cetilistat	3
185	cetuximab	5
186	ChimeriVax-JE	8
188	ciclesonide	3
190	cilazapril	3
192	cinacalcet	3
193	BAY-58-2667	3
194	ciprofloxacin	3
195	citalopram	3
196	cladribine	3
197	clarithromycin	3
198	clevidipine	3
199	clindamycin	3
200	clofarabine	3
201	clonidine	3
202	clopidogrel bisulfate 	3
203	CMV vaccine	8
204	colesevelam hydrochloride	3
205	conjugated oestrogens	3
206	contraceptives	3
207	corifollitropin alfa	4
208	CTS-21166	3
209	cyclobenzaprine ER	3
210	cyclosporine A	3
211	cyclosporin	3
212	cyproterone	3
213	cyproterone + ethinyl estradiol	3
214	Cytomegalovirus	NULL
215	CMV gB subunit vaccine	8
216	dabigatran etexilate	3
217	dacetuzumab	5
218	daclizumab	5
219	dalbavancin	3
220	dalcetrapib	3
221	dalteparin sodium	2
224	daptomycin injection	3
225	darbepoetin alpha	4
226	darifenacin	3
227	darotropium	3
228	darotropium + 642444	3
229	darunavir	3
230	darusentan	3
231	dasatinib	3
232	decitabine	3
233	deferasirox	3
235	degarelix	2
236	Dengue	NULL
237	Dengue fever	NULL
238	denileukin diftitox	4
240	denufosol tetrasodium	3
241	desloratadine	3
242	desogestrel	3
243	desogestrel + ethinyl estradiol	3
244	desvenlafaxine	3
246	dexlansoprazole	3
247	Diabetes compound	4
248	dibotermin alfa	4
249	diclofenac	3
250	diltiazem	3
251	latrepirdine	3
252	dimethyl fumarate	3
253	diosmectite	3
254	Diphteria/Tetanus/Pertussis	8
256	gabapentin gastric retentive	3
257	docetaxel	3
258	domperidone	3
259	donepezil	3
260	donepezil transdermal	3
261	doripenem	3
262	dornase alpha	4
263	dorzolamide / dorzolamide + timolol	3
264	TKI258	3
265	doxazosin	3
266	doxepin	3
267	doxecalciferol	3
268	doxorubicin	3
269	dronabinol	3
270	dronedarone	3
271	drospirenone + ethinyl estradiol 	3
272	drospirenone + oestradiol	3
273	drotrecogin alfa activated	4
274	DTaP booster vaccine	8
275	DTaP vaccine	8
276	DTP-HepB-Hib	NULL
277	DTaP-HepB-Polio-Hib	8
278	DTP-Polio-Hib	8
279	edoxaban	3
280	rhApo2L/TRAIL	4
281	duloxetine	3
283	dutogliptin	3
284	dydrogesterone	3
285	ebastine	3
286	EBV vaccine	8
287	ecabet	3
289	edaravone	3
290	efalizumab	5
291	efavirenz	3
292	efungumab	5
293	elcatonin	2
294	eldecalcitol	3
295	elesclomol	3
296	eletriptan	3
297	elotuzumab	5
299	emtricitabine + tenofovir + efavirenz	3
300	enalapril	3
301	enfuvirtide	2
302	enoxaparin	2
303	entacapone	3
304	entecavir	3
305	LY317615	3
306	eperisone	3
307	epirubicin	3
308	eplerenone	3
309	eplivanserin	3
311	epoprostenol	3
312	epratuzumab	5
313	eprosartan	3
314	Epstein-Barr virus	NULL
315	eptacog alfa	4
316	eptifibatide	3
317	ERb agonist	3
318	eribaxaban	NULL
319	eribulin	3
320	E-5564	3
321	erlotinib	3
322	ertapenem	3
323	erythromycin	3
324	peginesatide	4
325	epoetin beta	4
326	escitalopram	3
327	eslicarbazepine acetate	3
328	esmirtazapine	3
329	esomeprazole	3
330	eszopiclone	3
331	etanercept	5
332	ethinyloestradiol + desogestrel	3
333	etizolam	3
334	etonogestrel	3
335	etonogestrel + ethinyl estradiol	3
336	etoricoxib	3
337	etravirine	3
338	everolimus	3
339	exemestane	3
341	exenatide LAR	4
342	hydromorphone - extended-release	3
343	Modified-release nicotinic acid + laropiprant	3
344	ezetimibe	3
345	ezetimibe + atorvastatin	3
346	octocog alfa	4
347	famciclovir	3
348	famotidine	3
350	farglitazar	NULL
351	felodipine	3
352	fenofibrate	3
353	fenofibrate + simvastatin	3
354	fentanyl	3
355	fentanyl - transmucosal	3
356	ferric gluconate complex	3
357	ferroquine	3
358	fesoterodine	3
359	fexofenadine	3
361	filgrastim	4
362	finasteride	3
363	firategrast	3
364	flibanserin	3
365	flomoxef	3
366	Flu Cell Culture	NULL
367	Flu Micro-Injection	8
369	Flu pandemia–EUN5N1 Egg	8
370	Flu Pandemia-H7	NULL
372	Flu pre-pandemic	NULL
373	H5N1 pandemic influenza vaccine	8
374	fluconazole	3
376	fluoxetine	3
377	flutamide	3
378	fluticasone propionate	3
379	formoterol + fluticasone propionate	3
380	fluticasone furoate	3
381	fluticasone furoate + 159802	3
382	fluticasone furoate + 642444	3
383	fluticasone furoate + milveterol	3
384	fluvastatin	3
385	fluvoxamine	3
387	fondaparinux	2
388	formoterol	3
389	fosamprenavir	3
390	fosaprepitant	3
391	fosinopril	3
392	frovatriptan	3
394	fulvestrant	3
395	gabapentin	3
397	galantamine	3
398	galiximab	5
399	ganciclovir	3
401	gatifloxacin	3
402	GBS	8
403	gefitinib	3
404	gemcitabine	3
405	gestodene + ethinyloestradiol	3
406	gimatecan	NULL
407	glatiramer acetate	2
408	glimepiride	3
409	GLP-1 Fc	4
410	GLP-1 PEG	2
411	NVA237	3
412	glycopyrronium + indacaterol	3
414	goserelin	4
415	granisetron	3
417	elvitegravir	3
419	guanfacine ER	3
420	H5N1pre-pandemic influenza vaccine	8
421	Helicobacter pylori vaccine	8
422	Hepatitis C Vaccine	8
423	Hepatitis E virus	NULL
424	Hepatitis vaccine	8
425	Hib+HepB+Dtap+IPV	NULL
427	HIV	NULL
428	HIV (Thailand)	NULL
429	HIV attachment inhibitor	3
430	HIV integrase inhibitor	NULL
431	HIV vaccine	8
432	HPV 9-valent vaccine	NULL
434	human ghrelin	4
435	human insulin	4
436	HPV vaccine	8
437	human thrombin	4
438	hyaluronic acid	3
439	hydrocodone  +  acetaminophen / hydrocodone  +  ibuprofen	3
440	hydrocodone + chlorpheniramine	3
441	hylan G-F 20	2
443	ibandronate	3
444	iboctadekin	4
445	ibuprofen + famotidine	3
446	idebenone	3
447	idonurate sulfatase	4
448	idrabiotaparinux	2
449	IL-1beta antibody	5
451	imidapril	3
452	imipenem + cilastin	3
453	immunoglobulin	5
456	infliximab	5
457	influenza vaccine	8
458	iloprost	3
460	inotuzumab ozogamicin	5
461	insulin aspart	4
462	insulin detemir	4
463	insulin glargine	4
464	insulin glulisine	4
465	insulin lispro / insulin lispro + protamine suspension	4
466	Human and animal insulins	4
467	interferon alpha	4
468	interferon alpha 2b	4
469	interferon-beta 1a	4
470	interferon beta 1b	4
471	Iosmapimod	3
472	ipilimumab	5
473	forigerimod	2
474	ipratropium bromide	3
475	irbesartan	3
476	irinotecan	3
477	iron sucrose	3
478	isavuconazole	3
479	isosorbide dinitrate	3
480	isotretinoin	3
481	itraconazole	3
482	ivabradine	3
483	ixabepilone	3
484	Japanese Encephalitis Virus vaccine	8
485	JNJ-17305600	NULL
486	JNJ-37822681	3
487	ketoconazole	3
488	lacosamide	3
489	lactulose	3
490	lamivudine	3
491	lamotrigine	3
493	lansoprazole	3
494	lanthanum carbonate	3
495	lapatinib	3
497	larotaxel	3
498	lasofoxifene	3
499	latanoprost	3
500	lenalidomide	3
501	lenograstim	4
502	lercanidipine	3
505	leuprolide	2
506	levalbuterol	3
507	levetiracetam	3
508	levocetirizine	3
509	levodopa + carbidopa	3
510	levofloxacin	3
511	levofloxacin / ofloxacin	3
512	levonorgestrel	3
513	levonorgestrol + ethinyloestradiol	3
514	levothyroxine	3
515		3
516	limaprost	3
518	linagliptin	3
519	linezolid	3
520	liposomal belotecan	3
521	lipoxin	NULL
522	liraglutide	2
523	lisdexamphetamine	3
524	lisinopril	3
526	Local anaesthetics	3
527	lonaprisan	NULL
529	oxycodone - long-acting oral	3
530	lopinavir  +  ritonavir	3
531	loratadine	3
532	lorcaserin	3
533	losartan	3
535	loxoprofen	3
537	lubiprostone	3
538	HCD122	5
539	lumiracoxib	3
540	solanezumab	5
541	LY2140023	3
543	LY2624803	3
544	LY450139	3
546	nitrofurantoin monohydrate	3
547	maraviroc	3
548	MCC-847	3
549	MBP8298	3
550	mebeverine	3
552	medroxyprogesterone	3
554	meloxicam	3
555	memantine	3
556	Men ACWY vaccine	8
557	menatetrenone	3
558	Meninge ACYW-conj	8
559	MCV-4	8
561	meropenem	3
562	mesalamine	3
563	mesalazine	3
564	arhalofenate	3
565	metaxalone	3
566	metformin / metformin + glyburide	3
567	methylnaltrexone	3
568	methylphenidate CR	3
569	methylprednisolone	3
571	metoprolol	3
