drug_class_name,drug_group_name,indication
Other Incontinence Treatments,Incontinence, Dysuria
Pediatric Vaccines,Vaccine Products, IPV /DPT vaccine
Other Diabetes Agents,Diabetes,11-beta HSD-1 inhibitor for Type II Diabetes
Other Musculoskeletal,Other Musculoskeletal Disorders,Achondroplasia
Acne Treatments,Acne,Acne
Acne Treatments,Acne,Acne 
Acne Treatments,Acne,Acne associated with hyperandrogenism
Recombinant Blood Products,Blood Clotting Disorders,Acquired Hemophilia A
Growth Hormone-related Treatments,Growth Hormone Disorders,Acromegaly
Actinic Keratosis Treatments,Actinic Keratosis,Actinic keratosis
Actinic Keratosis Treatments,Actinic Keratosis,Actinic keratosis 
Anti-platelets,Thrombosis,acute cerebral thrombosis
Anti-platelets,Thrombosis,Acute Coronary Syndrome
Other Risk Factor Treatments,Other Cardiovascular Disorders,Acute coronary syndrome 
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Acute external otitis
Other Cardiology Agents,Other Cardiovascular Disorders,Acute Heart Failure
Anti-coagulants,Thrombosis,Acute ischemic stroke
Anti-coagulants,Thrombosis,Acute ischemic stroke  - TAFIa inhibitor
Acute / Chronic Renal Disorder Treatments,Renal Disorders,Acute Kidney Injury
Immune Receptor-targeted Agents,Biologics,Acute Lymphoblastic Leukemia
Anti-metabolites,Cytotoxics,Acute Lymphoblastic Leukemia
Microtubule Modulators,Cytotoxics,Acute Lymphoblastic Leukemia
Other Cytotoxics,Cytotoxics,Acute Lymphoblastic Leukemia
Immune Receptor-targeted Agents,Biologics,Acute myelogenous leukemia
Immune Receptor-targeted Agents,Biologics,Acute Myeloid Leukemia
Other Targeted Biologics,Biologics,Acute Myeloid Leukemia
Anti-metabolites,Cytotoxics,Acute Myeloid Leukemia
Anti-neoplastic Antibiotics,Cytotoxics,Acute Myeloid Leukemia
Other Cytotoxics,Cytotoxics,Acute Myeloid Leukemia
Immunomodulators - Oncology (Small-molecule),Targeted Small Molecules,Acute Myeloid Leukemia
Other Targeted Small Molecules,Targeted Small Molecules,Acute Myeloid Leukemia
Alkylating Agents,Cytotoxics,Acute Myeloid Leukemia 
Other Cytotoxics,Cytotoxics,Acute Promyelocytic Leukemia
Other Cytotoxics,Cytotoxics,Acute Promyelocytic Leukemia 
Other Respiratory Agents,Other Respiratory Disorders,Acute Respiratory Distress
Other Respiratory Agents,Other Respiratory Disorders,Acute Respiratory Distress Syndrome
Other Targeted Small Molecules,Targeted Small Molecules,Acute/chronic myeloid leukemia
Other Anti-viral Agents,Other Viral Infections,ADA-SCID
Other ADHD Agents,ADHD,ADHD
Stimulants,ADHD,ADHD
Other Supportive Care,Other Supportive Care,Adjunct to Thyroid Ablation
BRAF/MEK Inhibitors,Targeted Small Molecules,Advanced Cancer
Anti-neoplastic Antibiotics,Cytotoxics,advanced HIV-associated Kaposis sarcoma
Wet AMD Treatments,AMD,Age-related Macular Degeneration
Growth Hormone-related Treatments,Growth Hormone Disorders,AIDS-Associated Cachexia
Alcohol Dependence Treatments,Addictions,Alcohol Addiction
Corneal & External Eye Treatments,Corneal & External Eye Diseases,Allergic conjunctivitis
Anti-histamines,Allergic Rhinitis,Allergic Rhinitis
Nasal Steroids,Allergic Rhinitis,Allergic Rhinitis
Other Allergic Rhinitis Treatments,Allergic Rhinitis,Allergic Rhinitis
Other Allergic Rhinitis Treatments,Allergic Rhinitis,Allergy
Other Supportive Care,Other Supportive Care,Allogeneic hematopoietic stem cell mobilization
Other Dermatology Products,Other Dermatology Disorders,Alopecia (androgenic)
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Alpha-Mannosidosis
AChEIs,Alzheimer's Disease,Alzheimer's Disease
NMDA Antagonists,Alzheimer's Disease,Alzheimer's Disease
Other Alzheimers Disease Agents,Alzheimer's Disease,Alzheimer's Disease
Other Alzheimers Disease Agents,Alzheimer's Disease,Alzheimer's disease 
Dry AMD Treatments,AMD,AMD
Wet AMD Treatments,AMD,AMD
ALS Treatments,Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis
ESAs,Anemia,Anemia
Other Anemia Treatments,Anemia,Anemia
ESAs (Oncology),Anemia (Oncology),Anemia
ESAs (Oncology),Anemia (Oncology),Anemia in MDS
Other Pain,Pain,Anesthesia
Other Pain,Pain,Anesthetic
Other Anti-hypertensives,Hypertension,Angina
Other Cardiology Agents,Other Cardiovascular Disorders,Angina
Other Antibiotics,Bacterial Infection,anthrax
Other Antibiotics,Bacterial Infection,Anthrax Infection
Other Vaccines,Vaccine Products,Anthrax vaccination
Other Rheumatic Disease Agents,Rheumatic Diseases,Anti-CD40L antibody fragment for Systemic Lupus Erythematosus
Other Diabetes Agents,Diabetes,Anti-IL18 for Type II diabetes
Benzodiazepines,Sleep Disorders,Anxiety
Other Psychiatry,Other Psychiatric Disorders,Anxiety disorder
Other Psychiatry,Other Psychiatric Disorders,Appetite Stimulant
Class Ic Anti-arrhythmics,Arrhythmias,Arrhythmia
Beta-blockers,Hypertension,Arrhythmia 
Calcium Antagonists,Hypertension,Arrhythmia 
